Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
1, 2, dataset_Bio_1/Bin_POMCA, 0, 2, 1362, 50, 1.57452761397729, 2.36360092561289, 1, 
1, 2, dataset_Bio_1/Bin_POMCA, 2, 3, 7843, 26, -0.864147012145674, -1.84837424501539, 1, 
1, 2, dataset_Bio_1/Bin_POMCA, 3, 4, 1394, 7, -0.447175693206344, -0.500510172980769, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, 4, 5, 83, 8, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_clasedesuelos, 1, 2, 209, 32, 1.17911169983172, 1.19129962681916, 1, 
1, 2, dataset_Bio_1/Bin_clasedesuelos, 2, 3, 33408, 1579, -0.114060559018861, -1.4373769107414, 1, 
1, 2, dataset_Bio_1/Bin_clasedesuelos, 3, 4, 1296, 228, 1.34532813904012, 1.44487089046326, 1, 
1, 2, dataset_Bio_1/Bin_humendales, 1, 2, 458, 20, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_nacimientos, 1, 2, 2654, 136, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_parquesreservas, 1, 2, 1345, 4, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_rios, 1, 2, 13491, 708, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_silape, 1, 2, 7320, 457, 0.644962963376885, 0.984113948023766, 1, 
1, 2, dataset_Bio_1/Bin_silape, 2, 3, 22154, 538, -0.33915098464688, -0.984113948023766, 1, 
1, 2, dataset_Bio_1/bin_rnare, 1, 2, 1718, 135, 0, 0, 0, 
1, 2, dis_atropellamientos/distance_to_2, 0, 760, 1823, 9, -2.41653952373304, -2.46804169519886, 1, 
1, 2, dis_atropellamientos/distance_to_2, 760, 770, 52, 0, 0, 0, 0, 
1, 2, dis_atropellamientos/distance_to_2, 770, 780, 43, 1, -0.848144088677548, -0.848870853633075, 0, 
1, 2, dis_atropellamientos/distance_to_2, 780, 790, 61, 1, -1.20481903261628, -1.20609087223025, 0, 
1, 2, dis_atropellamientos/distance_to_2, 790, 800, 21, 0, 0, 0, 0, 
1, 2, dis_atropellamientos/distance_to_2, 800, 810, 59, 2, -0.460378557668784, -0.461015313170951, 0, 
1, 2, dis_atropellamientos/distance_to_2, 810, 820, 56, 0, 0, 0, 0, 
1, 2, dis_atropellamientos/distance_to_2, 820, 830, 42, 1, -0.824046537098487, -0.824743028838239, 0, 
1, 2, dis_atropellamientos/distance_to_2, 830, 840, 54, 0, 0, 0, 0, 
1, 2, dis_atropellamientos/distance_to_2, 840, 850, 53, 3, 0.0761148128457842, 0.0762345609007624, 0, 
1, 2, dis_atropellamientos/distance_to_2, 850, 920, 322, 15, -0.129272016879167, -0.13040752676388, 0, 
1, 2, dis_atropellamientos/distance_to_2, 920, 930, 60, 2, -0.477770300380653, -0.478437343769182, 0, 
1, 2, dis_atropellamientos/distance_to_2, 930, 940, 48, 0, 0, 0, 0, 
