From*, To*, Variable*, Range_Lower_Limit*, Weight, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, 0, 0.23544014846306, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, 100, 0.0697928229479361, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, 1000, -0.70731425282595, 
1, 2, dynamic_Infraestructura/Dist_NuevosUrbanis, 1200, -0.178928287473434, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 0, 0.845336680481748, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 200, 0.741091116439033, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 400, 1.26269587445985, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 500, 0.863651733635205, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 800, 0.528588777856778, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 1400, -0.079304902684779, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 1900, -0.2741984751873, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 2200, -0.693993408850289, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 2300, -0.22443412531282, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 2700, -0.676293831750889, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 2800, -0.400809259244525, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 2900, -1.45716173862275, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 3000, -0.308812971913631, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 3200, -0.629807559202884, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 3300, -0.490379351404883, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 5100, 0.402338377119095, 
1, 2, dynamic_Infraestructura/Dist_claseurbana, 5600, 0.292233676548614, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 0, 0.81969743709422, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 100, 0.133266053110315, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 300, -0.130899356538542, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 700, -0.651970419075442, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 800, -1.21547632709027, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 900, -0.85512248405901, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1000, -0.702375687603094, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1200, -1.58211326375775, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1300, -2.2118641277589, 
1, 2, dynamic_Infraestructura/Dist_constru_rural, 1600, -2.87007701514807, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 0, 1.13550638836061, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 100, 0.804092358257718, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 400, 1.05459388851256, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 500, 0.700269121918778, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 600, 0.959344682459051, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 900, 0.183076609870584, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 1700, -0.334100898020978, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2000, 0.0589744167392827, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2500, -0.444230571260802, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2600, -0.709227653422137, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 2800, -0.964731666929157, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3000, -0.723535087950764, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3300, -0.524820324899841, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3800, -0.737984978131824, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 3900, -0.288528300742125, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4400, -0.457743510030779, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 4700, -0.123135806048618, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5200, 1.06139841620689, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5300, 0.34879880972013, 
1, 2, dynamic_Infraestructura/Dist_constru_urbana, 5600, 0.278945836283377, 
1, 2, dynamic_Infraestructura/Dist_linea_altatension, 0, 0.240681874139914, 
