Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 0, 60, 2060, 71, -0.34946343989513, -0.369902335632015, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 60, 420, 11018, 434, -0.210810209776859, -0.307510748113264, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 420, 900, 10374, 404, -0.222677023077207, -0.315647127142702, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 900, 960, 574, 18, -0.44715257443689, -0.453847752413343, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 960, 1020, 537, 35, 0.319991903715212, 0.326344408453219, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1020, 1080, 464, 42, 0.675908266164884, 0.689598260301251, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1080, 1140, 332, 24, 0.431198009291898, 0.436731499054993, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1140, 1200, 197, 11, 0.155392561002697, 0.156428104792042, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1200, 1260, 150, 13, 0.628212393550939, 0.632178253511955, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1260, 1320, 150, 8, 0.106858445996102, 0.10738787931913, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1320, 1440, 327, 13, -0.201199666529189, -0.203100092344825, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1440, 1500, 196, 6, -0.472020641014904, -0.474384412859018, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1500, 1560, 190, 9, -0.0180284920120791, -0.0181355094224431, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1560, 1620, 168, 18, 0.862980425717436, 0.869798517111385, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1620, 1860, 721, 59, 0.565515849886238, 0.582588233187638, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1860, 1920, 171, 7, -0.170712316851358, -0.171563231160769, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1920, 1980, 170, 11, 0.312235032495666, 0.31416386181529, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 1980, 2100, 264, 21, 0.534704956300402, 0.540418062312386, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2100, 2160, 100, 16, 1.32501588531399, 1.33269950149291, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2160, 2280, 180, 19, 0.846278576099505, 0.853390619364643, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2280, 2340, 139, 8, 0.187488180396212, 0.18838111189749, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2340, 2460, 279, 11, -0.209847745794959, -0.211530045314605, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2460, 2760, 633, 43, 0.364321540711324, 0.373059513100744, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2760, 2880, 176, 19, 0.87143713573566, 0.878681458507588, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 2880, 3600, 1582, 132, 0.586727049089278, 0.62752442604338, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 3600, 3780, 269, 17, 0.28702821846232, 0.289811241493636, 0, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 3780, 3900, 184, 16, 0.63186870475405, 0.636777477714864, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 3900, 4020, 151, 30, 1.58865079798294, 1.60434800464344, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 4020, 4260, 113, 11, 0.756166421431627, 0.759978459369264, 1, 
1, 2, dynamic_amenazas/Dist_Altaincendios, 4260, 4620, 68, 13, 1.54086013414659, 1.54753208776612, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 0, 60, 4751, 89, -1.08230176145058, -1.18803490726273, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 60, 120, 6371, 164, -0.757304850176469, -0.876266191708966, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 120, 180, 5124, 208, -0.286450702571622, -0.33019261683336, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 180, 240, 3209, 168, -0.0197160198611201, -0.0217429877809138, 0, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 240, 300, 2391, 192, 0.437999069886006, 0.478976728622843, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 300, 2820, 10106, 828, 0.459873557486556, 0.728137757033068, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 2820, 2880, 119, 0, 0, 0, 0, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 2880, 2940, 103, 4, -0.332563800601714, -0.333433206771054, 0, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 2940, 3000, 112, 11, 0.659036444370097, 0.661967002094316, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3000, 3060, 142, 10, 0.296044858820661, 0.297459581036059, 0, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3060, 3120, 138, 14, 0.695037452423207, 0.698913220627922, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3120, 3180, 127, 9, 0.30280164128354, 0.304099136794245, 0, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3180, 3240, 107, 5, -0.139273212437185, -0.139684972399488, 0, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3240, 3300, 116, 11, 0.620196611053833, 0.623002937459176, 1, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3300, 3420, 195, 9, -0.152260407963996, -0.153078064568503, 0, 
1, 2, dynamic_amenazas/Dist_Deslizamiento, 3420, 3540, 221, 23, 0.7234888736476, 0.730058061146166, 1, 
