Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 0, 100, 25606, 814, -0.526790403859223, -1.32692406093204, 1, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 100, 200, 1455, 118, 0.462026576969542, 0.487078722807066, 1, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 200, 300, 1210, 139, 0.847651392288764, 0.893327260026243, 1, 
1, 2, dynamic_biofisico/Dist_CorredoresSILAPE, 300, 4200, 6642, 768, 0.855024150994927, 1.20012280322545, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 0, 100, 10482, 69, -2.12717827032682, -2.46703796126559, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 100, 200, 1187, 21, -1.12728639958119, -1.15169216289342, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 200, 300, 1406, 45, -0.519786983275326, -0.537033585063115, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 300, 400, 1199, 60, -0.0540358716192608, -0.0559102228952269, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 400, 1400, 7919, 509, 0.211387827866211, 0.281772587710832, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 1400, 1500, 453, 46, 0.709353740652321, 0.722303410455538, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 1500, 5400, 10042, 933, 0.610912515708355, 0.996697391653286, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 5400, 5600, 231, 14, 0.14868550568062, 0.149744801072687, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 5600, 5800, 355, 14, -0.303299618062438, -0.306021391361642, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 5800, 5900, 169, 12, 0.318186374045513, 0.319974808687949, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 5900, 6000, 183, 8, -0.195818902637858, -0.196764435763445, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6000, 6100, 135, 3, -0.89466410431244, -0.897030486756076, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6100, 6200, 146, 7, -0.0990382544695579, -0.0994361282346608, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6200, 6300, 199, 8, -0.283306356760973, -0.284738345157472, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6300, 6400, 198, 12, 0.14868550568062, 0.149592548274507, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6400, 6500, 145, 15, 0.730041280252448, 0.734293009279922, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6500, 6600, 134, 11, 0.475236447031774, 0.477510053895646, 0, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6600, 6900, 170, 18, 0.756016766655709, 0.761246563609311, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 6900, 7100, 106, 19, 1.36805639011768, 1.37580790388119, 1, 
1, 2, dynamic_biofisico/Dist_EcoPOMCA, 7100, 7300, 54, 15, 1.93401408457838, 1.94102426880227, 1, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 0, 100, 12255, 987, 0.454473440043039, 0.80730182387423, 1, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 100, 300, 8251, 486, 0.118352417923527, 0.157662602830475, 1, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 300, 400, 2941, 121, -0.259176088729598, -0.280234034757474, 1, 
1, 2, dynamic_biofisico/Dist_NucleosSILAPE, 400, 700, 5799, 193, -0.479377013214028, -0.554228954316296, 1, 
