Transition_From*, Transition_To*, Variable*, Range_Lower_Limit*, Range_Upper_Limit*, Possible_Transitions, Executed_Transitions, Weight_Coefficient, Contrast, Significant, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 0, 60, 20496, 1398, 0.274984555889428, 0.841511002650654, 1, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 60, 120, 7730, 275, -0.410343599926447, -0.503781507954812, 1, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 120, 300, 5692, 163, -0.63448651592535, -0.724601016666382, 1, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 300, 360, 499, 3, -2.218438108451, -2.2319157163197, 1, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 360, 420, 314, 0, 0, 0, 0, 
1, 2, dynamic_conflictos/Dist_ConflictosEEP, 420, 600, 182, 0, 0, 0, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 0, 120, 361, 18, -0.0578331596639546, -0.0584218489594193, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 120, 300, 1884, 113, 0.137613710535328, 0.14599552786675, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 300, 360, 869, 63, 0.340576513490725, 0.350763366389654, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 360, 480, 2231, 128, 0.090435617822738, 0.0968833760829214, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 480, 540, 1269, 53, -0.24350461936817, -0.251720103555851, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 540, 1140, 8981, 475, 0.00431325782688306, 0.00581095193831338, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1140, 1200, 714, 46, 0.21387875255827, 0.218806619168263, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1200, 1320, 1357, 67, -0.0681793483589311, -0.0708507116353431, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1320, 1500, 2013, 71, -0.419268242204134, -0.440406506928265, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1500, 1560, 648, 16, -0.786775142301256, -0.797330287975679, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1560, 1740, 1908, 68, -0.408487615821104, -0.428050259161967, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1740, 1800, 516, 23, -0.17548942850772, -0.177921941912682, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 1800, 2460, 4415, 238, 0.02444763878012, 0.0280314586614952, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2460, 2520, 245, 19, 0.413429509499975, 0.416958339082028, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2520, 2580, 241, 12, -0.0592898241604187, -0.0596911048176728, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2580, 2640, 240, 2, -1.88959796350571, -1.8957318248585, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2640, 2700, 253, 20, 0.434219349594111, 0.438084655242835, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2700, 2760, 218, 8, -0.378140459431812, -0.380150420983859, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2760, 2820, 195, 10, -0.0282452024784585, -0.0284018461324951, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2820, 2880, 152, 4, -0.721392383038404, -0.723699774924928, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2880, 2940, 135, 9, 0.250468199990562, 0.251557264610414, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 2940, 3000, 125, 4, -0.51997065487103, -0.521458362138427, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3000, 3060, 101, 4, -0.298891087777672, -0.299650750116808, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3060, 3180, 138, 11, 0.4432337159456, 0.445385923070333, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3180, 3300, 211, 30, 1.09222588000215, 1.10318601315916, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3300, 3420, 310, 31, 0.692300952269601, 0.700830225439495, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3420, 3480, 181, 6, -0.483500975089638, -0.48553821138042, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3480, 3540, 205, 11, 0.019562643340863, 0.0196792108910633, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3540, 3600, 199, 5, -0.768894717023407, -0.772055050275522, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3600, 3660, 155, 2, -1.44776521122667, -1.45131379504725, 1, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3660, 3720, 112, 4, -0.406311336398508, -0.407404620201698, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3720, 3780, 137, 11, 0.451138895452713, 0.453321453893937, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3780, 3900, 319, 20, 0.184814229769125, 0.186667830277083, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3900, 3960, 161, 5, -0.550892565209616, -0.552897848027833, 0, 
1, 2, dynamic_conflictos/Dist_ataques_felinos, 3960, 4020, 160, 4, -0.774036116523826, -0.776586507014304, 0, 
