Transition_From*, Transition_To*, First_Variable*, Second_Variable*, Chi_2, Cramer, Contingency, Joint_Entropy, Joint_Uncertainty, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/Bin_ametropolitana, 0, 0, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/Bin_clasedesuelos, 0, 0, 0, 0.804980482690047, 0, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/Bin_humendales, 0, 0, 0, -0, 0, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/Bin_nacimientos, 0, 0, 0, 0.779277879888963, 0, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/Bin_parquesreservas, 0, 0, 0, 0.620427709808289, 0, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/Bin_rios, 0, 0, 0, 0.797202683382306, 0, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/Bin_silape, 985.629525722017, 0.300776038605125, 0.28802960291499, 0.914821700606991, 0.067807974001112, 
1, 2, dataset_Bio_1/Bin_POMCA, dataset_Bio_1/bin_rnare, 0, 0, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_POMCA, dis_atropellamientos/distance_to_2, 13232.272659908, 0.754536880452506, 0.729668215012248, 4.96097048410524, 0.215433865391837, 
1, 2, dataset_Bio_1/Bin_POMCA, dis_cambiousosuelo/distance_to_2, 2940.75340937893, 0.355707118245267, 0.449389031783163, 2.15046174171189, 0.116913849310259, 
1, 2, dataset_Bio_1/Bin_POMCA, dis_conflictosbio/distance_to_2, 10378.9589233449, 0.668251816784113, 0.686856419498877, 4.53658768267537, 0.162910730653311, 
1, 2, dataset_Bio_1/Bin_POMCA, dis_presenciabio/distance_to_2, 452.691454206966, 0.139561105069845, 0.193633774596464, 1.47632830363636, 0.0318038354254325, 
1, 2, dataset_Bio_1/Bin_POMCA, dis_viasrurales/distance_to_2, 5297.51348700755, 0.477418547453049, 0.559570659407136, 4.16266127013438, 0.112667641934197, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dataset_Bio_1/Bin_clasedesuelos, 0, 0, 0, -0, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dataset_Bio_1/Bin_humendales, 0, 0, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dataset_Bio_1/Bin_nacimientos, 0, 0, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dataset_Bio_1/Bin_parquesreservas, 0, 0, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dataset_Bio_1/Bin_rios, 0, 0, 0, -0, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dataset_Bio_1/Bin_silape, 0, 0, 0, -0, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dataset_Bio_1/bin_rnare, 0, 0, 0, 0, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dis_atropellamientos/distance_to_2, 0, 0, 0, 2.08945627902109, 4.25076336182654e-16, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dis_cambiousosuelo/distance_to_2, 0, 0, 0, 0.319269333818907, 6.95477396056388e-16, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dis_conflictosbio/distance_to_2, 0, 0, 0, 4.01581492393677, 4.42340315240141e-16, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dis_presenciabio/distance_to_2, 0, 0, 0, 0.763040005854934, 0, 
1, 2, dataset_Bio_1/Bin_ametropolitana, dis_viasrurales/distance_to_2, 0, 0, 0, 3.73520053292837, 2.37786006901161e-16, 
1, 2, dataset_Bio_1/Bin_clasedesuelos, dataset_Bio_1/Bin_humendales, 0, 0, 0, -0, 0, 
1, 2, dataset_Bio_1/Bin_clasedesuelos, dataset_Bio_1/Bin_nacimientos, 0, 0, 0, 0.386831935986257, 0, 
